"year","sex","val","max","min"
1990,"Female",0.00648059646906832,0.00810074558633539,0.00486044735180124
1990,"Male",0.00413775176403792,0.0051721897050474,0.00310331382302844
1991,"Female",0.0104911900854308,0.0131139876067885,0.00786839256407308
1991,"Male",0.00672618272021694,0.00840772840027118,0.00504463704016271
1992,"Female",0.0158935342806445,0.0198669178508056,0.0119201507104834
1992,"Male",0.0102450805548803,0.0128063506936003,0.0076838104161602
1993,"Female",0.0222811264009154,0.0278514080011443,0.0167108448006866
1993,"Male",0.0144562979198011,0.0180703723997514,0.0108422234398508
1994,"Female",0.0287316093565806,0.0359145116957257,0.0215487070174354
1994,"Male",0.0187888724609,0.023486090576125,0.014091654345675
1995,"Female",0.034120674228837,0.0426508427860462,0.0255905056716277
1995,"Male",0.0225403496774802,0.0281754370968502,0.0169052622581101
1996,"Female",0.0375119358962405,0.0468899198703006,0.0281339519221804
1996,"Male",0.0250981869724585,0.0313727337155732,0.0188236402293439
1997,"Female",0.0386487931184695,0.0483109913980869,0.0289865948388521
1997,"Male",0.0262224858041017,0.0327781072551271,0.0196668643530763
1998,"Female",0.0379889172796231,0.0474861465995288,0.0284916879597173
1998,"Male",0.0261215290434304,0.032651911304288,0.0195911467825728
1999,"Female",0.0361943795293289,0.0452429744116611,0.0271457846469966
1999,"Male",0.0251718756298608,0.031464844537326,0.0188789067223956
2000,"Female",0.0338983763413973,0.0423729704267466,0.0254237822560479
2000,"Male",0.0238227529523345,0.0297784411904181,0.0178670647142509
2001,"Female",0.0314855432926286,0.0393569291157858,0.0236141574694715
2001,"Male",0.0223615860913999,0.0279519826142499,0.0167711895685499
2002,"Female",0.0292229867665248,0.036528733458156,0.0219172400748936
2002,"Male",0.0209408274879205,0.0261760343599007,0.0157056206159404
2003,"Female",0.0274127452324681,0.0342659315405851,0.0205595589243511
2003,"Male",0.0197603723713534,0.0247004654641918,0.0148202792785151
2004,"Female",0.0261261643999034,0.0326577054998793,0.0195946232999276
2004,"Male",0.018902660711069,0.0236283258888362,0.0141769955333017
2005,"Female",0.0252445297590349,0.0315556621987936,0.0189333973192761
2005,"Male",0.0183352485419637,0.0229190606774546,0.0137514364064728
2006,"Female",0.024681691762108,0.030852114702635,0.018511268821581
2006,"Male",0.017979263013917,0.0224740787673962,0.0134844472604377
2007,"Female",0.0243008145128324,0.0303760181410406,0.0182256108846243
2007,"Male",0.0177387400945127,0.0221734251181408,0.0133040550708845
2008,"Female",0.0240973201712648,0.030121650214081,0.0180729901284486
2008,"Male",0.0176374470424782,0.0220468088030978,0.0132280852818587
2009,"Female",0.0239543820583119,0.0299429775728898,0.0179657865437339
2009,"Male",0.0176165439488806,0.0220206799361007,0.0132124079616604
2010,"Female",0.0236474412811251,0.0295593016014064,0.0177355809608439
2010,"Male",0.0175038608084034,0.0218798260105043,0.0131278956063026
2011,"Female",0.0231048778895681,0.0288810973619601,0.0173286584171761
2011,"Male",0.0171969255513992,0.021496156939249,0.0128976941635494
2012,"Female",0.0224341566283569,0.0280426957854461,0.0168256174712677
2012,"Male",0.0167817617485374,0.0209772021856717,0.012586321311403
2013,"Female",0.0216333144375199,0.0270416430468999,0.01622498582814
2013,"Male",0.0162937533610625,0.0203671917013281,0.0122203150207968
2014,"Female",0.0207882025666123,0.0259852532082654,0.0155911519249592
2014,"Male",0.01578143201114,0.019726790013925,0.011836074008355
2015,"Female",0.0201351200235604,0.0251689000294505,0.0151013400176703
2015,"Male",0.0153704251177822,0.0192130313972277,0.0115278188383366
2016,"Female",0.0195090538870118,0.0243863173587647,0.0146317904152588
2016,"Male",0.0149299702115555,0.0186624627644444,0.0111974776586666
2017,"Female",0.0182725427182239,0.0228406783977798,0.0137044070386679
2017,"Male",0.0140081568480103,0.0175101960600128,0.0105061176360077
2018,"Female",0.0159651218755758,0.0199564023444697,0.0119738414066818
2018,"Male",0.0122658149188394,0.0153322686485493,0.00919936118912956
2019,"Female",0.0144860853027374,0.0181076066284217,0.010864563977053
2019,"Male",0.0111303673577504,0.0139129591971879,0.00834777551831277
1989,"Female",0.00540118036060545,0.00675147545075681,0.00405088527045409
1988,"Female",0.00450155312509128,0.0056269414063641,0.00337616484381846
1987,"Female",0.00375176890700009,0.00468971113375012,0.00281382668025007
1986,"Female",0.00312686966928714,0.00390858708660893,0.00234515225196536
1985,"Female",0.00260605441621558,0.00325756802026947,0.00195454081216168
1984,"Female",0.00217198679144981,0.00271498348931226,0.00162899009358736
1983,"Female",0.00181021800346099,0.00226277250432623,0.00135766350259574
1982,"Female",0.00150870586918576,0.0018858823364822,0.00113152940188932
1981,"Female",0.00125741396636409,0.00157176745795511,0.000943060474773066
1980,"Female",0.00104797755155601,0.00130997193944501,0.000785983163667004
1989,"Male",0.00331385160366061,0.00414231450457577,0.00248538870274546
1988,"Male",0.00265400465695587,0.00331750582119484,0.0019905034927169
1987,"Male",0.00212554500369378,0.00265693125461723,0.00159415875277034
1986,"Male",0.00170231109085907,0.00212788886357384,0.0012767333181443
1985,"Male",0.00136335059715315,0.00170418824644143,0.00102251294786486
1984,"Male",0.00109188318206858,0.00136485397758573,0.000818912386551435
1983,"Male",0.00087446977011907,0.00109308721264884,0.000655852327589302
1982,"Male",0.000700347245392473,0.000875434056740592,0.000525260434044355
1981,"Male",0.000560895620282036,0.000701119525352545,0.000420671715211527
1980,"Male",0.000449211300424644,0.000561514125530805,0.000336908475318483
