policy_id,year,gender_name,G_compartment,year_gender,hiv_prevalence
1,1990,male,1,1990_male,0.058681519
1,1991,male,1,1991_male,0.074061314
1,1992,male,1,1992_male,0.090639807
1,1993,male,1,1993_male,0.107946764
1,1994,male,1,1994_male,0.125531974
1,1995,male,1,1995_male,0.142993243
1,1996,male,1,1996_male,0.159006582
1,1997,male,1,1997_male,0.172507805
1,1998,male,1,1998_male,0.183366976
1,1999,male,1,1999_male,0.191557848
1,2000,male,1,2000_male,0.197168983
1,2001,male,1,2001_male,0.201500849
1,2002,male,1,2002_male,0.205174588
1,2003,male,1,2003_male,0.208274373
1,2004,male,1,2004_male,0.210909405
1,2005,male,1,2005_male,0.213219193
1,2006,male,1,2006_male,0.215335328
1,2007,male,1,2007_male,0.217347114
1,2008,male,1,2008_male,0.21927206
1,2009,male,1,2009_male,0.221012135
1,2010,male,1,2010_male,0.222472877
1,2011,male,1,2011_male,0.223674347
1,2012,male,1,2012_male,0.223613359
1,2013,male,1,2013_male,0.221983883
1,2014,male,1,2014_male,0.219101437
1,2015,male,1,2015_male,0.215239223
1,2016,male,1,2016_male,0.210284351
1,2017,male,1,2017_male,0.204258929
1,2018,male,1,2018_male,0.198233506
1,2019,male,1,2019_male,0.191198358
1,2020,male,1,2020_male,0.18456938
1,2021,male,1,2021_male,0.179107189
1,2022,male,1,2022_male,0.172721549
1,2023,male,1,2023_male,0.166561107
1,2024,male,1,2024_male,0.160660023
1,2025,male,1,2025_male,0.155043285
1,2026,male,1,2026_male,0.149728814
1,2027,male,1,2027_male,0.144728172
1,2028,male,1,2028_male,0.140046545
1,1990,female,2,1990_female,0.099433347
1,1991,female,2,1991_female,0.125575944
1,1992,female,2,1992_female,0.153506697
1,1993,female,2,1993_female,0.182350482
1,1994,female,2,1994_female,0.21130134
1,1995,female,2,1995_female,0.239677976
1,1996,female,2,1996_female,0.265518645
1,1997,female,2,1997_female,0.287352092
1,1998,female,2,1998_female,0.305074003
1,1999,female,2,1999_female,0.31871553
1,2000,female,2,2000_female,0.328452416
1,2001,female,2,2001_female,0.336122236
1,2002,female,2,2002_female,0.342602063
1,2003,female,2,2003_female,0.348031295
1,2004,female,2,2004_female,0.352615287
1,2005,female,2,2005_female,0.35668532
1,2006,female,2,2006_female,0.36061631
1,2007,female,2,2007_female,0.364697007
1,2008,female,2,2008_female,0.369017201
1,2009,female,2,2009_female,0.373388059
1,2010,female,2,2010_female,0.377576778
1,2011,female,2,2011_female,0.381541583
1,2012,female,2,2012_female,0.384550171
1,2013,female,2,2013_female,0.386604888
1,2014,female,2,2014_female,0.388073356
1,2015,female,2,2015_female,0.38910188
1,2016,female,2,2016_female,0.389300148
1,2017,female,2,2017_female,0.388336289
1,2018,female,2,2018_female,0.387372431
1,2019,female,2,2019_female,0.383720067
1,2020,female,2,2020_female,0.380362319
1,2021,female,2,2021_female,0.377136593
1,2022,female,2,2022_female,0.372846829
1,2023,female,2,2023_female,0.368192784
1,2024,female,2,2024_female,0.363264532
1,2025,female,2,2025_female,0.358145385
1,2026,female,2,2026_female,0.352911252
1,2027,female,2,2027_female,0.347629791
1,2028,female,2,2028_female,0.342359905
