"program_id","variable","mean","min","max"
1,"Tb_mort_neg_male_t_per_100k_ppl",282.954102217094,212.7709299599,367.15436730053
1,"Tb_mort_neg_female_t_per_100k_ppl",122.172620423482,82.407166345963,165.98163817802
1,"Tb_mort_pos_male_t_per_100k_ppl",750.44309290544,532.0454377262,1042.42215632327
1,"Tb_mort_pos_female_t_per_100k_ppl",568.106811286473,412.48629782604,816.42333368215
1,"O_mort_male_t_per_100k_ppl",3497.38647548754,2155.63753522091,4353.2704649537
1,"O_mort_female_t_per_100k_ppl",2043.22767529675,1308.69229190956,2977.3991804816
2,"Tb_mort_neg_male_t_per_100k_ppl",272.476088897897,200.34031264951,363.17891000654
2,"Tb_mort_neg_female_t_per_100k_ppl",118.944083104818,78.0419624173629,165.32136631977
2,"Tb_mort_pos_male_t_per_100k_ppl",438.845390858447,286.38637460728,641.02724989505
2,"Tb_mort_pos_female_t_per_100k_ppl",411.771419505372,283.30901458666,647.00061608073
2,"O_mort_male_t_per_100k_ppl",1819.26346937083,1103.43459800052,2320.2403961689
2,"O_mort_female_t_per_100k_ppl",1377.10098134049,897.22154740981,2013.5533102129
3,"Tb_mort_neg_male_t_per_100k_ppl",267.656908844678,198.13816718987,355.19144839149
3,"Tb_mort_neg_female_t_per_100k_ppl",116.976779579793,77.2031646496931,161.95027956816
3,"Tb_mort_pos_male_t_per_100k_ppl",411.856903736735,274.7561778112,582.35491561078
3,"Tb_mort_pos_female_t_per_100k_ppl",388.465917352247,273.57211982128,592.57246888621
3,"O_mort_male_t_per_100k_ppl",1824.00818598923,1105.5945451924,2325.4302541784
3,"O_mort_female_t_per_100k_ppl",1380.55285337128,899.23890137236,2017.7535201695
