"","sex_id","sex_name","year","expected_total_pop"
"1",1,"male",1990,3781809.21570309
"2",1,"male",1991,3878231.99273036
"3",1,"male",1992,3982801.91683752
"4",1,"male",1993,4098196.72746634
"5",1,"male",1994,4222383.5461351
"6",1,"male",1995,4354103.04417941
"7",1,"male",1996,4493899.37001542
"8",1,"male",1997,4641820.43619845
"9",1,"male",1998,4798719.97726442
"10",1,"male",1999,4964272.99999116
"11",1,"male",2000,5137609.5208558
"12",1,"male",2001,5319293.33281697
"13",1,"male",2002,5504456.80721984
"14",1,"male",2003,5691392.88539205
"15",1,"male",2004,5880447.65537649
"16",1,"male",2005,6088400.71682576
"17",1,"male",2006,6280735.68049059
"18",1,"male",2007,6478966.85462555
"19",1,"male",2008,6681177.54016607
"20",1,"male",2009,6889015.0717628
"21",1,"male",2010,7104195.40365687
"22",1,"male",2011,7327097.92992485
"23",1,"male",2012,7558110.8324591
"24",1,"male",2013,7798798.14353651
"25",1,"male",2014,8050848.19175071
"26",1,"male",2015,8316436.749406
"27",1,"male",2016,8595798.97426675
"28",1,"male",2017,8889219.27179283
"29",1,"male",2018,9197013.24042398
"30",1,"male",2019,9518531.97083569
"31",2,"female",1990,4048175.338276
"32",2,"female",1991,4169637.29306575
"33",2,"female",1992,4298024.70974127
"34",2,"female",1993,4434280.03309816
"35",2,"female",1994,4578633.27912375
"36",2,"female",1995,4731010.02440074
"37",2,"female",1996,4891937.30871029
"38",2,"female",1997,5061934.58490853
"39",2,"female",1998,5240520.82860264
"40",2,"female",1999,5427624.0078053
"41",2,"female",2000,5620384.48367837
"42",2,"female",2001,5820784.21141593
"43",2,"female",2002,6024369.49694415
"44",2,"female",2003,6229694.05132885
"45",2,"female",2004,6437702.73404586
"46",2,"female",2005,6665387.30603849
"47",2,"female",2006,6873916.14613445
"48",2,"female",2007,7088683.3932621
"49",2,"female",2008,7308269.73800619
"50",2,"female",2009,7534016.65918936
"51",2,"female",2010,7766361.3157939
"52",2,"female",2011,8004982.3832931
"53",2,"female",2012,8250929.53190909
"54",2,"female",2013,8507543.46984568
"55",2,"female",2014,8776746.51077943
"56",2,"female",2015,9058582.77951325
"57",2,"female",2016,9351583.95496288
"58",2,"female",2017,9656061.70436867
"59",2,"female",2018,9972069.02643967
"60",2,"female",2019,10298271.2929494
